TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,ORDINAL_POSITION
DBT,STG_TRUM_PLANS,ROUTER_NAS_ID,NUMBER,1
DBT,TASKVANILLA,DEVICE_ID,TEXT,20
DBT,TASKVANILLA,DEVICEID,TEXT,67
DBT,TASKVANILLA,DEVICE_PHOTO,TEXT,77
DBT,TASKVANILLA,OPTICALPOWER,TEXT,99
DBT,TASKVANILLA,ROUTER_MAC,TEXT,146
DBT,TASKVANILLA,OPTICAL_POWER_SOURCE,TEXT,148
DBT,TASKVANILLA_AUDIT,DEVICE_ID,TEXT,21
DBT,TASKVANILLA_AUDIT,DEVICEID,TEXT,68
DBT,TASKVANILLA_AUDIT,DEVICE_PHOTO,TEXT,78
DBT,TASKVANILLA_AUDIT,OPTICALPOWER,TEXT,100
DBT,TASKVANILLA_AUDIT,ROUTER_MAC,TEXT,147
DBT,TASKVANILLA_AUDIT,OPTICAL_POWER_SOURCE,TEXT,149
DBT,TICKETVANILLA,DEVICE_ID,TEXT,27
DBT,TICKETVANILLA_AUDIT,DEVICE_ID,TEXT,27
DBT,T_ROUTER_USER_MAPPING,ID,NUMBER,1
DBT,T_ROUTER_USER_MAPPING,OTP_ISSUED_TIME,TIMESTAMP_NTZ,2
DBT,T_ROUTER_USER_MAPPING,TRANSACTION_ID,TEXT,3
DBT,T_ROUTER_USER_MAPPING,OTP_EXPIRY_TIME,TIMESTAMP_NTZ,4
DBT,T_ROUTER_USER_MAPPING,ENTRYUNIXEPOCH,NUMBER,5
DBT,T_ROUTER_USER_MAPPING,DEVICE_LIMIT,NUMBER,6
DBT,T_ROUTER_USER_MAPPING,MOBILE,TEXT,7
DBT,T_ROUTER_USER_MAPPING,AUTH_STATE,NUMBER,8
DBT,T_ROUTER_USER_MAPPING,OTP,TEXT,9
DBT,T_ROUTER_USER_MAPPING,DATA_PLAN,NUMBER,10
DBT,T_ROUTER_USER_MAPPING,CREATED_BY,NUMBER,11
DBT,T_ROUTER_USER_MAPPING,SELECTED_PLAN_ID,NUMBER,12
DBT,T_ROUTER_USER_MAPPING,PLAN_INCREASED_IN_SEC,NUMBER,13
DBT,T_ROUTER_USER_MAPPING,CHARGES,FLOAT,14
DBT,T_ROUTER_USER_MAPPING,ROUTER_NAS_ID,NUMBER,15
DBT,T_ROUTER_USER_MAPPING,CREATED_ON,TIMESTAMP_NTZ,16
DBT,T_ROUTER_USER_MAPPING,EXTRA_DATA,TEXT,17
DBT,T_ROUTER_USER_MAPPING,STORE_GROUP_ID,NUMBER,18
DBT,T_ROUTER_USER_MAPPING,TIME_PLAN,NUMBER,19
DBT,T_ROUTER_USER_MAPPING,UPDATED_BY,NUMBER,20
DBT,T_ROUTER_USER_MAPPING,STATUS,TEXT,21
DBT,T_ROUTER_USER_MAPPING,RECHARGE_ISP,BOOLEAN,22
DBT,T_ROUTER_USER_MAPPING,IS_COMMISSION_ELIGIBLE,BOOLEAN,23
DBT,T_WG_CUSTOMER,DEVICE_ID,TEXT,7
DBT,V_DEVICE_LAST_PING,DEVICE_ID,TEXT,2
DS_TABLES,T_USAGE_DATA,ROUTER_NAS_ID,TEXT,1
DS_TABLES,T_USAGE_DATA,MAC,TEXT,6
DS_TABLES,T_USAGE_DATA,ROUTER_SESSION,BOOLEAN,14
DS_TABLES,T_USAGE_DATA,ROUTER_LOGS,TEXT,16
DS_TABLES,T_USAGE_DATA_USER_SESSIONS_AGGREGATED,MAC,TEXT,4
DYNAMODB,ACCOUNT_WALLET_HISTORY,DEVICE_ID,TEXT,11
DYNAMODB,BOOKING,DEVICE_ID,TEXT,18
DYNAMODB,BOOKING,ONT,NUMBER,52
DYNAMODB,CUSTOMER,DEVICE_ID,TEXT,8
DYNAMODB,CUSTOMER_V_2,DEVICE_ID,TEXT,16
DYNAMODB,HOME_ROUTER_PLAN_INFO,ENTRY_UNIX_EPOCH_TIME,NUMBER,1
DYNAMODB,HOME_ROUTER_PLAN_INFO,NAS_ID,NUMBER,2
DYNAMODB,HOME_ROUTER_PLAN_INFO,_FIVETRAN_SYNCED,TIMESTAMP_TZ,3
DYNAMODB,HOME_ROUTER_PLAN_INFO,DATA,VARIANT,4
DYNAMODB,HOME_ROUTER_PLAN_INFO,_FIVETRAN_DELETED,BOOLEAN,5
DYNAMODB,HOME_ROUTER_PLAN_INFO,PLAN_START_TIME,TIMESTAMP_TZ,6
DYNAMODB,HOME_ROUTER_PLAN_INFO,DATA_LIMIT,NUMBER,7
DYNAMODB,HOME_ROUTER_PLAN_INFO,SOURCE,TEXT,8
DYNAMODB,HOME_ROUTER_PLAN_INFO,LCO_ACCOUNT_ID,NUMBER,9
DYNAMODB,HOME_ROUTER_PLAN_INFO,PLAN_AMOUNT,NUMBER,10
DYNAMODB,HOME_ROUTER_PLAN_INFO,CASH_FEE,NUMBER,11
DYNAMODB,HOME_ROUTER_PLAN_INFO,TOTAL_PAID,NUMBER,13
DYNAMODB,HOME_ROUTER_PLAN_INFO,CONNECTION,TEXT,14
DYNAMODB,HOME_ROUTER_PLAN_INFO,TRANSACTION_ID,TEXT,15
DYNAMODB,HOME_ROUTER_PLAN_INFO,CREATED_TIME,TIMESTAMP_TZ,16
DYNAMODB,HOME_ROUTER_PLAN_INFO,FIRST_RECHARGE_TIME,TIMESTAMP_TZ,17
DYNAMODB,HOME_ROUTER_PLAN_INFO,PAYMENT_MODE,TEXT,18
DYNAMODB,HOME_ROUTER_PLAN_INFO,DEVICE_ID,TEXT,19
DYNAMODB,HOME_ROUTER_PLAN_INFO,DEVICE_LIMIT,NUMBER,20
DYNAMODB,HOME_ROUTER_PLAN_INFO,MOBILE,TEXT,21
DYNAMODB,HOME_ROUTER_PLAN_INFO,OTP,TEXT,22
DYNAMODB,HOME_ROUTER_PLAN_INFO,PLAN_INCREASED_IN_SEC,NUMBER,23
DYNAMODB,HOME_ROUTER_PLAN_INFO,CHARGES,NUMBER,24
DYNAMODB,HOME_ROUTER_PLAN_INFO,ACCOUNT_ID,NUMBER,25
DYNAMODB,HOME_ROUTER_PLAN_INFO,TIME_PLAN,NUMBER,26
DYNAMODB,HOME_ROUTER_PLAN_INFO,SPEED_MBPS,NUMBER,27
DYNAMODB,HOME_ROUTER_PLAN_INFO,PLAN_ID,NUMBER,28
DYNAMODB,HOME_ROUTER_PLAN_INFO,IS_COMMISSION_ELIGIBLE,BOOLEAN,30
DYNAMODB,HOME_ROUTER_PLAN_INFO,RECHARGE_ISP,BOOLEAN,34
DYNAMODB,HOME_ROUTER_PLAN_INFO,PLAN_END_TIME,TEXT,35
DYNAMODB,HOME_ROUTER_PLAN_INFO,ENTRY_DATE,TEXT,36
DYNAMODB,HOME_ROUTER_PLAN_INFO,COUPON_IDS,VARIANT,37
DYNAMODB,HOME_ROUTER_PLAN_INFO,COUPON_DISCOUNT,NUMBER,39
DYNAMODB,IN_P_INCENTIVE_PROCESSING_SCHEDULE,DEVICE_ID,TEXT,6
